sim_time,veh_id,type,edge,lane,lane_pos,x,y,speed,accel,angle,route_id,leader_id,gap_to_leader
7.6,veh_5,bus,S2S_A2,S2S_A2_0,55.89,598.4,55.89,9.957,0.133,0.0,south2east,,
7.6,veh_6,bus,S4N_A4,S4N_A4_0,30.69,1201.6,369.31,7.62,0.811,180.0,north4east,veh_4,8.457
7.6,veh_7,car,S4N_A4,S4N_A4_0,12.1,1201.6,387.9,5.534,1.38,180.0,north4east,veh_6,4.088
7.6,veh_8,truck,S2N_A2,S2N_A2_0,33.6,601.6,366.4,9.096,-0.064,180.0,north2west,veh_2,25.017
7.6,veh_9,car,A0_A1,A0_A1_1,34.39,34.39,204.8,14.862,-0.116,90.0,east_main,veh_1,67.522
7.8,veh_1,car,A0_A1,A0_A1_1,111.89,111.89,204.8,14.884,-0.548,90.0,east_main,,
7.8,veh_10,mtw,S2N_A2,S2N_A2_0,16.07,601.6,383.93,8.763,0.455,180.0,north2west,veh_8,8.862
7.8,veh_11,auto,A5_A4,A5_A4_1,15.91,1484.09,195.5,12.828,0.158,270.0,west_main,,
7.8,veh_12,car,S4S_A4,S4S_A4_0,7.99,1198.4,7.99,8.42,-0.653,0.0,south4north,,
7.8,veh_2,auto,S2N_A2,S2N_A2_0,65.95,601.6,334.05,9.16,-0.524,180.0,north2west,,
7.8,veh_3,car,S4N_A4,S4N_A4_0,62.76,1201.6,337.24,10.073,0.32,180.0,north4east,,
7.8,veh_4,car,S4N_A4,S4N_A4_0,48.02,1201.6,351.98,9.368,0.332,180.0,north4east,veh_3,7.74
7.8,veh_5,bus,S2S_A2,S2S_A2_0,57.86,598.4,57.86,9.886,-0.359,0.0,south2east,,
7.8,veh_6,bus,S4N_A4,S4N_A4_0,32.23,1201.6,367.77,7.718,0.489,180.0,north4east,veh_4,8.787
7.8,veh_7,car,S4N_A4,S4N_A4_0,13.23,1201.6,386.77,5.678,0.721,180.0,north4east,veh_6,4.496
7.8,veh_8,truck,S2N_A2,S2N_A2_0,35.43,601.6,364.57,9.134,0.194,180.0,north2west,veh_2,25.022
7.8,veh_9,car,A0_A1,A0_A1_1,37.38,37.38,204.8,14.934,0.357,90.0,east_main,veh_1,67.512
8.0,veh_1,car,A0_A1,A0_A1_1,114.86,114.86,204.8,14.863,-0.105,90.0,east_main,,
